apiName,packageName,packageVersion,sourceFiles,startLine,replacement,isCompatible,deprecated
System.Web.Optimization.BundleCollection.Add(System.Web.Optimization.Bundle),Microsoft.AspNet.Web.Optimization,1.1.3,D:\source\MJRousos\WebFormsToBlazor\WebFormsChecklist\WebFormsChecklist\App_Start\BundleConfig.cs,15,,INCOMPATIBLE,
System.Web.Optimization.BundleCollection.Add(System.Web.Optimization.Bundle),Microsoft.AspNet.Web.Optimization,1.1.3,D:\source\MJRousos\WebFormsToBlazor\WebFormsChecklist\WebFormsChecklist\App_Start\BundleConfig.cs,26,,INCOMPATIBLE,
System.Web.Optimization.BundleCollection.Add(System.Web.Optimization.Bundle),Microsoft.AspNet.Web.Optimization,1.1.3,D:\source\MJRousos\WebFormsToBlazor\WebFormsChecklist\WebFormsChecklist\App_Start\BundleConfig.cs,34,,INCOMPATIBLE,
System.Web.Optimization.Bundle.Include(params string[]),Microsoft.AspNet.Web.Optimization,1.1.3,D:\source\MJRousos\WebFormsToBlazor\WebFormsChecklist\WebFormsChecklist\App_Start\BundleConfig.cs,15,,INCOMPATIBLE,
System.Web.Optimization.Bundle.Include(params string[]),Microsoft.AspNet.Web.Optimization,1.1.3,D:\source\MJRousos\WebFormsToBlazor\WebFormsChecklist\WebFormsChecklist\App_Start\BundleConfig.cs,26,,INCOMPATIBLE,
"System.Web.Optimization.Bundle.Include(string, params System.Web.Optimization.IItemTransform[])",Microsoft.AspNet.Web.Optimization,1.1.3,D:\source\MJRousos\WebFormsToBlazor\WebFormsChecklist\WebFormsChecklist\App_Start\BundleConfig.cs,34,,INCOMPATIBLE,
Linq,System.Core,4.0.0,D:\source\MJRousos\WebFormsToBlazor\WebFormsChecklist\WebFormsChecklist\App_Start\BundleConfig.cs,3,,COMPATIBLE,
Linq,System.Core,4.0.0,D:\source\MJRousos\WebFormsToBlazor\WebFormsChecklist\WebFormsChecklist\About.aspx.cs,3,,COMPATIBLE,
Linq,System.Core,4.0.0,D:\source\MJRousos\WebFormsToBlazor\WebFormsChecklist\WebFormsChecklist\Contact.aspx.cs,3,,COMPATIBLE,
Linq,System.Core,4.0.0,D:\source\MJRousos\WebFormsToBlazor\WebFormsChecklist\WebFormsChecklist\Default.aspx.cs,3,,COMPATIBLE,
