packageId,version,packageSourceType,frequency,apis,apiSet,sourceFiles,sourceFilesList,replacement,compatible,failed,deprecated
Antlr,3.5.0.2,NUGET,1,0,{},0,[],,INCOMPATIBLE,,
AspNet.ScriptManager.bootstrap,3.4.1,NUGET,1,0,{},0,[],,INCOMPATIBLE,,
AspNet.ScriptManager.jQuery,3.4.1,NUGET,1,0,{},0,[],,INCOMPATIBLE,,
bootstrap,3.4.1,NUGET,1,0,{},0,[],4.0.0,COMPATIBLE,,
jQuery,3.4.1,NUGET,1,0,{},0,[],3.5.0,COMPATIBLE,,
Microsoft.AspNet.FriendlyUrls,1.0.2,NUGET,1,7,{},2,"[""D:\\source\\MJRousos\\WebFormsToBlazor\\WebFormsChecklist\\WebFormsChecklist\\App_Start\\RouteConfig.cs"",""D:\\source\\MJRousos\\WebFormsToBlazor\\WebFormsChecklist\\WebFormsChecklist\\ViewSwitcher.ascx.cs""]",,COMPATIBLE,,
Microsoft.AspNet.FriendlyUrls.Core,1.0.2,NUGET,1,0,{},0,[],,INCOMPATIBLE,,
Microsoft.AspNet.ScriptManager.MSAjax,5.0.0,NUGET,1,0,{},0,[],,INCOMPATIBLE,,
Microsoft.AspNet.ScriptManager.WebForms,5.0.0,NUGET,1,0,{},0,[],,INCOMPATIBLE,,
Microsoft.AspNet.Web.Optimization,1.1.3,NUGET,1,12,{},2,"[""D:\\source\\MJRousos\\WebFormsToBlazor\\WebFormsChecklist\\WebFormsChecklist\\App_Start\\BundleConfig.cs"",""D:\\source\\MJRousos\\WebFormsToBlazor\\WebFormsChecklist\\WebFormsChecklist\\Global.asax.cs""]",,INCOMPATIBLE,,
Microsoft.AspNet.Web.Optimization.WebForms,1.1.3,NUGET,1,0,{},0,[],,INCOMPATIBLE,,
Microsoft.CodeDom.Providers.DotNetCompilerPlatform,2.0.1,NUGET,1,0,{},0,[],,INCOMPATIBLE,,
Microsoft.Web.Infrastructure,1.0.0,NUGET,1,0,{},0,[],,INCOMPATIBLE,,
Modernizr,2.8.3,NUGET,1,0,{},0,[],,COMPATIBLE,,
Newtonsoft.Json,12.0.2,NUGET,1,0,{},0,[],12.0.3,COMPATIBLE,,
WebGrease,1.6.0,NUGET,1,0,{},0,[],,INCOMPATIBLE,,
