sourceFilePath,incompatibleApis,totalApis,solutionPath,projectPath,portability,portabilityNumber,isProjectPage
D:\source\MJRousos\WebFormsToBlazor\WebFormsChecklist\WebFormsChecklist\App_Start\BundleConfig.cs,5,7,D:\source\MJRousos\WebFormsToBlazor\WebFormsChecklist\WebFormsToBlazor.sln,D:\source\MJRousos\WebFormsToBlazor\WebFormsChecklist\WebFormsChecklist\WebFormsChecklist.csproj,29%,29,
D:\source\MJRousos\WebFormsToBlazor\WebFormsChecklist\WebFormsChecklist\About.aspx.cs,0,2,D:\source\MJRousos\WebFormsToBlazor\WebFormsChecklist\WebFormsToBlazor.sln,D:\source\MJRousos\WebFormsToBlazor\WebFormsChecklist\WebFormsChecklist\WebFormsChecklist.csproj,100%,100,
D:\source\MJRousos\WebFormsToBlazor\WebFormsChecklist\WebFormsChecklist\About.aspx.designer.cs,0,0,D:\source\MJRousos\WebFormsToBlazor\WebFormsChecklist\WebFormsToBlazor.sln,D:\source\MJRousos\WebFormsToBlazor\WebFormsChecklist\WebFormsChecklist\WebFormsChecklist.csproj,-,,
D:\source\MJRousos\WebFormsToBlazor\WebFormsChecklist\WebFormsChecklist\App_Start\RouteConfig.cs,2,5,D:\source\MJRousos\WebFormsToBlazor\WebFormsChecklist\WebFormsToBlazor.sln,D:\source\MJRousos\WebFormsToBlazor\WebFormsChecklist\WebFormsChecklist\WebFormsChecklist.csproj,60%,60,
D:\source\MJRousos\WebFormsToBlazor\WebFormsChecklist\WebFormsChecklist\Contact.aspx.cs,0,2,D:\source\MJRousos\WebFormsToBlazor\WebFormsChecklist\WebFormsToBlazor.sln,D:\source\MJRousos\WebFormsToBlazor\WebFormsChecklist\WebFormsChecklist\WebFormsChecklist.csproj,100%,100,
D:\source\MJRousos\WebFormsToBlazor\WebFormsChecklist\WebFormsChecklist\Contact.aspx.designer.cs,0,0,D:\source\MJRousos\WebFormsToBlazor\WebFormsChecklist\WebFormsToBlazor.sln,D:\source\MJRousos\WebFormsToBlazor\WebFormsChecklist\WebFormsChecklist\WebFormsChecklist.csproj,-,,
D:\source\MJRousos\WebFormsToBlazor\WebFormsChecklist\WebFormsChecklist\Default.aspx.cs,0,2,D:\source\MJRousos\WebFormsToBlazor\WebFormsChecklist\WebFormsToBlazor.sln,D:\source\MJRousos\WebFormsToBlazor\WebFormsChecklist\WebFormsChecklist\WebFormsChecklist.csproj,100%,100,
D:\source\MJRousos\WebFormsToBlazor\WebFormsChecklist\WebFormsChecklist\Default.aspx.designer.cs,0,0,D:\source\MJRousos\WebFormsToBlazor\WebFormsChecklist\WebFormsToBlazor.sln,D:\source\MJRousos\WebFormsToBlazor\WebFormsChecklist\WebFormsChecklist\WebFormsChecklist.csproj,-,,
D:\source\MJRousos\WebFormsToBlazor\WebFormsChecklist\WebFormsChecklist\Global.asax.cs,0,5,D:\source\MJRousos\WebFormsToBlazor\WebFormsChecklist\WebFormsToBlazor.sln,D:\source\MJRousos\WebFormsToBlazor\WebFormsChecklist\WebFormsChecklist\WebFormsChecklist.csproj,100%,100,
D:\source\MJRousos\WebFormsToBlazor\WebFormsChecklist\WebFormsChecklist\List.aspx.cs,4,18,D:\source\MJRousos\WebFormsToBlazor\WebFormsChecklist\WebFormsToBlazor.sln,D:\source\MJRousos\WebFormsToBlazor\WebFormsChecklist\WebFormsChecklist\WebFormsChecklist.csproj,78%,78,
